dzr_sng_id,sng_id,art_name_lower,track_id
15424159,SOMHYGG12A6D4F6A7E,priestess,TRFZQAO128F931C7B3
63421013,SOIQMEP12A8C140A04,john littlejohn,TRCLNCZ128F4287E35
997814,SOYGDCN12A8C13BC30,ezkimo,TRHXFXU128F4295B25
4606753,SOINNUT12AB0188588,omar pene,TRZIYOM128F9341723
583534,SOVYJWU12A8C13F753,sergio rivero,TRYMLSN128F42AE224
3235726,SOFBBQE12A8C144B14,dierks bentley,TRLSCIQ12903CFDBEE
66780940,SOMAXST12A6D4FD664,bourbon princess,TREZKJV128F421E021
133234802,SOWBOLV12A6D4F7283,meredith brooks,TRJGPSB128EF352EA3
17945316,SOBNKGI12A6D4F9E26,zachary richard,TRQGMKT128F14A2D3C
115842312,SOMRYCZ12A58A7BC53,banda maguey,TRNNLXN128F428A1EC
116960636,SOXPODQ12A58A7ADB1,langhorne slim,TRDBDNX12903CF8A9B
119096458,SOEMALV12AF729B1D4,bodeans,TRKWJQF128F9308792
11121608,SOGGEAO12AB0182F45,the lawrence arms,TRUPQZG128F930FC86
11378905,SOHOYQO12A8C142ED3,sathima bea benjamin,TRWBPNC128F92E0574
7199384,SOQTCNS12AB0186040,toni fisher,TRSDFEA128F933AF58
71119507,SOCCLXV12AB0188C7E,sui generis,TRDTWGR128F933B05D
12494875,SOTNBLO12AB018A24A,dimitri tiomkin,TRHRYTT12903CDC58E
3433542,SOVLCGF12A6D4F469C,david mccallum,TRCPQBQ128F146155F
131285968,SOKUCBU12AB0184A09,atomic rooster,TRFIMFE12903CB2393
134798876,SOYLDRQ12AB017C606,4lyn,TRGYHPT128F9301885
108630940,SOUKMYA12A8AE4890F,jimmy rushing,TRBSQDU128F4233095
13268166,SOFHAGW12AB0183953,sui generis,TRXLMAH128F933B07C
13323953,SOPESDD12AB0181755,diomedes diaz;ivan zuleta,TRQJDWA128F9343689
1347017,SOZNDVT12A6D4F68A0,la gran orquesta republicana,TRCQZBU128EF363781
80296570,SOJXVHE12A8AE46157,rick james,TRPTFMI128F425CA24
64930783,SOUPVJS12AB018BC40,filteria,TRACOST12903CBEE3E
73067733,SONMMRN12AB0187C6A,nocturnus,TRSIREX12903CDF3EF
111925656,SOZMOEI12AB017F16D,atomic rooster,TRRTJFA128F92FD8DA
6117704,SOCUCBQ12A58A7C7EF,dallas holm,TRISRHI12903CBFB8D
100920794,SONFKAL12A5891DC2B,rhonda vincent,TRFPSHD128F92FE6CE
92182838,SOSJHEF12A81C20B36,robert michaels,TROBUET128F423626A
3731372,SOKIPTT12AB017CD63,kristian meurman,TRAOEJY128F93041C7
4882116,SOFJRAK12AB01856F9,rebeca,TRFWHXY128F933F63F
13238771,SOEKPRU12A8C139E40,gemelli diversi,TRCERJM128F9324D8F
2454278,SOESMFN12AB0185E05,the sutherland brothers,TRHERZP128F9327424
74584569,SOOMZMW12A8C142253,amy allison,TROTKYP128F92F34D2
2996669,SOAAPQF12AB0182F34,st vincent,TRXZQAJ128F9330FCB
123836688,SOQSGTT12A8C133EC1,gabriel yared,TRJNSQJ128F426FE3D
99872028,SOYNPZJ12AC468599A,popperklopper,TRMIDFP12903D07E8D
12042658,SORWITU12A8C14228F,free diamonds,TRXUJBC128F429173C
109074622,SOOCMHX12AB018582A,tommy ridgley,TRXPPHW128F933E33E
3354912,SONZHWK12A8C136C3B,maggie reilly,TRUNFRV128F42699B3
13143272,SOUCHCW12A8AE48230,the zutons,TRETZNR128F425C3D3
73459769,SORDARB12A8C1366F3,luka bloom,TRQEIIT12903CB5CC3
3523620,SOGIOSO12A6BD5675B,klaus lage band,TRMCQQV128EF34E5AD
3526212,SOFLDWX12A8C13CF6D,la decada prodigiosa,TRZIIVE128F42793BB
63621128,SOTVSLN12AAF3B59E6,snog,TRTRCWV128F92D8719
3395519,SOEKPYE12A58A7C215,beth orton,TRZCLRL128F14544A4
11512907,SOXJBRP12AB01814FC,23 skidoo,TRTUVHR128F9310CCC
121928682,SOEPWJR12AB0185A05,deniece williams,TRQVZGW128F9336722
6082065,SOXNBXI12AB018F362,melocos,TRAPUYY12903CE1311
11357272,SOKBNVL12A58A7B3B1,oppressed logic,TRDAPEA128F930A327
107867652,SOCEYHY12AC3DF49D0,los visitantes,TRTQWUW12903CE9703
13213735,SOGYBYM12AAF3B54F6,lordi,TRBTWST128F92E1C72
113399698,SOHEUEZ12AC468B72A,merauder,TRXFWAT12903CF1D20
73363616,SONWWDH12A8C13AD80,holger biege,TRGQSFX128F428E23D
129633636,SOIVMBZ12A8AE48640,madness,TRMFURU128F423C174
2454282,SOJLMBP12AB0185E13,the sutherland brothers,TRULYIJ128F9327428
65459545,SOKKDFQ12A8C1315E8,mia doi todd,TRUAIUA128F423CB7B
68653268,SOZBGZD12A6D4FC699,anthony que,TRKLOHD128F9335EAF
134799134,SOLJRIS12AB0180356,4lyn,TRNBJKQ128F930186D
4609358,SOVKGEW12AB018B04F,brideshead,TRPORTV12903CC6F60
88278455,SOCEWUG12A8C139075,masta ace incorporated,TRXKSBO128F4274FC7
63985356,SOAYAGE12A8AE48C39,luka bloom,TRUREJH128F4244A68
86875341,SOBXOOV12A58A7984E,lone justice,TRZFVGU128F9321349
